name,population,land_area
Tonga,"104,494",720
Seychelles,"97,739",460
Antigua and Barbuda,"97,118",440
Andorra,"77,142",470
Dominica,"71,808",750
Marshall Islands,"58,791",180
Saint Kitts & Nevis,"52,823",260
Monaco,"38,964",1
Liechtenstein,"38,019",160
San Marino,"33,860",60
Palau,"18,008",460
Tuvalu,"11,646",30
Nauru,"10,756",20
Holy See,799,0
