countries,,,
id,name,population,land area
70,Senegal,"16,296,364","192,530"
71,Chad,"15,946,876","1,259,200"
72,Somalia,"15,442,905","627,340"
73,Zimbabwe,"14,645,468","386,850"
74,Guinea,"12,771,246","245,720"
75,Rwanda,"12,626,950","24,670"
76,Benin,"11,801,151","112,760"
77,Tunisia,"11,694,719","155,360"
78,Belgium,"11,539,328","30,280"
79,Burundi,"11,530,580","25,680"
80,Bolivia,"11,513,100","1,083,300"
81,Cuba,"11,333,483","106,440"
82,Haiti,"11,263,077","27,560"
83,South Sudan,"11,062,113","610,952"
84,Dominican Republic,"10,738,958","48,320"
85,Czech Republic (Czechia),"10,689,209","77,240"
86,Greece,"10,473,455","128,900"
87,Portugal,"10,226,187","91,590"
88,Jordan,"10,101,694","88,780"
89,Azerbaijan,"10,047,718","82,658"
90,Sweden,"10,036,379","410,340"
91,United Arab Emirates,"9,770,529","83,600"
92,Honduras,"9,746,117","111,890"
93,Hungary,"9,684,679","90,530"
94,Belarus,"9,452,411","202,910"
95,Tajikistan,"9,321,018","139,960"
96,Austria,"8,955,102","82,409"
97,Papua New Guinea,"8,776,109","452,860"
98,Serbia,"8,772,235","87,460"
99,Switzerland,"8,591,365","39,516"
100,Israel,"8,519,377","21,640"
101,Togo,"8,082,366","54,390"
102,Sierra Leone,"7,813,215","72,180"
103,Laos,"7,169,455","230,800"
104,Paraguay,"7,044,636","397,300"
105,Bulgaria,"7,000,119","108,560"
106,Lebanon,"6,855,713","10,230"
107,Libya,"6,777,452","1,759,540"
108,Nicaragua,"6,545,502","120,340"
109,El Salvador,"6,453,553","20,720"
110,Kyrgyzstan,"6,415,850","191,800"
111,Turkmenistan,"5,942,089","469,930"
112,Singapore,"5,804,337",700
113,Denmark,"5,771,876","42,430"
114,Finland,"5,532,156","303,890"
115,Slovakia,"5,457,013","48,088"
116,Congo,"5,380,508","341,500"
117,Norway,"5,378,857","365,268"
118,Costa Rica,"5,047,561","51,060"
119,State of Palestine,"4,981,420","6,020"
120,Oman,"4,974,986","309,500"
121,Liberia,"4,937,374","96,320"
122,Ireland,"4,882,495","68,890"
123,New Zealand,"4,783,063","263,310"
124,Central African Republic,"4,745,185","622,980"
125,Mauritania,"4,525,696","1,030,700"
126,Panama,"4,246,439","74,340"
127,Kuwait,"4,207,083","17,820"
128,Croatia,"4,130,304","55,960"
129,Moldova,"4,043,263","32,850"
130,Georgia,"3,996,765","69,490"
131,Eritrea,"3,497,117","101,000"
132,Uruguay,"3,461,734","175,020"
133,Bosnia and Herzegovina,"3,301,000","51,000"
134,Mongolia,"3,225,167","1,553,560"
